TileIndex,Red,Green,Blue
1019,181,165,155
1020,73,70,73
1021,120,108,78
1022,173,190,206
1023,101,103,101
1024,153,169,175
1025,109,138,117
1026,156,144,151
1027,133,96,81
1028,158,149,143
1029,121,127,134
1030,151,158,165
1031,47,47,47
1032,124,135,129
1033,134,103,78
1034,162,149,125
1035,119,114,102
1036,76,98,129
1037,173,154,142
1038,138,142,152
1039,200,193,178
1040,95,101,97
1041,84,98,63
1042,171,179,179
1043,147,122,106
1044,76,113,96
1045,106,101,90
1046,156,152,129
1047,133,118,123
1048,124,124,124
1049,76,76,67
1050,115,109,112
1051,140,141,132
1052,157,162,166
1053,136,104,85
1054,42,85,109
1055,200,218,230
1056,46,46,46
1057,209,209,209
1058,74,47,55
1059,215,216,220
1060,74,47,55
1061,111,126,137
1062,60,98,146
1063,109,118,128
1064,115,130,129
1065,76,55,61
1066,134,140,112
1067,97,97,93
1068,47,47,47
1069,155,156,141
1070,207,204,176
1071,95,92,88
1072,138,131,129
1073,129,130,124
1074,121,121,121
1075,183,193,207
1076,108,114,108
1077,96,111,129
1078,166,172,159
1079,173,152,139
1080,120,126,120
1081,159,148,130
1082,123,99,91
1083,106,143,170
1084,110,112,118
1085,127,127,127
1086,81,73,77
1087,146,141,130
1088,86,93,78
1089,179,168,147
1090,211,191,172
1091,153,121,103
1092,55,63,65
1093,77,108,144
1094,122,132,109
1095,123,157,195
1096,186,182,178
1097,48,100,109
1098,122,132,109
1099,151,147,111
1100,167,182,182
1101,185,177,146
1102,65,89,51
1103,81,91,102
1104,205,179,156
1105,162,172,129
1106,146,137,81
1107,180,177,176
1108,90,82,82
1109,180,147,92
1110,111,111,120
1111,79,80,81
1112,104,114,121
1113,84,98,63
1114,36,29,79
1115,73,86,89
1116,76,97,115
1117,178,174,166
1118,139,134,126
1119,122,102,86
1120,115,114,117
1121,81,91,102
1122,178,171,170
1123,133,135,129
1124,101,110,136
1125,175,185,187
1126,135,140,144
1127,132,147,154
1128,118,112,89
1129,131,131,131
1130,109,116,110
1131,161,161,161
1132,224,223,224
1133,187,172,153
1134,136,115,100
1135,127,115,107
1136,157,171,174
1137,55,66,63
1138,49,51,39
1139,179,177,171
1140,74,71,78
1141,158,145,129
1142,14,63,65
1143,100,97,101
1144,184,192,128
1145,144,144,142
1146,154,51,75
1147,120,131,166
1148,162,175,186
1149,124,135,129
1150,156,148,122
1151,211,191,172
1152,165,151,127
1153,162,162,162
1154,101,110,136
1155,179,148,106
1156,29,27,17
1157,199,180,162
1158,94,146,177
1159,143,147,149
1160,174,161,155
1161,86,86,45
1162,86,93,78
1163,47,47,47
1164,178,175,194
1165,166,172,159
1166,59,57,31
1167,97,86,80
1168,231,201,191
1169,71,108,145
1170,63,45,50
1171,116,115,118
1172,92,134,143
1173,122,122,122
1174,162,186,201
1175,99,106,95
1176,174,165,149
1177,162,161,170
1178,158,160,169
1179,121,115,103
1180,195,198,199
1181,101,110,136
1182,99,106,95
1183,13,38,47
1184,164,114,115
1185,110,124,113
1186,97,83,60
1187,173,163,149
1188,141,140,104
1189,165,164,157
1190,157,148,120
1191,138,123,108
1192,136,135,144
1193,145,135,125
1194,76,68,55
1195,96,96,96
1196,174,45,42
1197,161,162,162
1198,46,112,164
1199,113,111,109
1200,112,116,118
1201,169,129,82
1202,145,82,80
1203,162,163,168
1204,117,152,172
1205,53,51,52
1206,125,134,131
1207,134,106,77
1208,181,181,182
1209,126,127,111
1210,112,98,86
1211,71,80,54
1212,142,158,132
1213,132,166,205
1214,109,110,105
1215,135,127,123
1216,192,187,172
1217,150,158,174
1218,169,164,159
1219,119,58,37
1220,200,166,141
1221,71,80,54
1222,82,86,74
1223,140,128,121
1224,118,112,89
1225,135,125,115
1226,161,168,170
1227,131,93,75
1228,141,140,104
1229,94,94,94
1230,135,148,155
1231,109,108,115
1232,132,147,154
1233,57,58,56
1234,136,115,100
1235,164,199,217
1236,117,110,104
1237,106,143,170
1238,94,146,177
1239,157,154,148
1240,129,155,166
1241,190,194,186
1242,235,235,235
1243,98,144,180
1244,193,202,204
1245,131,93,75
1246,171,165,156
1247,145,193,237
1248,170,159,142
1249,190,198,199
1250,143,87,83
1251,69,61,64
1252,134,106,77
1253,27,64,107
1254,181,176,171
1255,162,161,170
1256,197,180,173
1257,58,58,58
1258,167,126,107
1259,95,95,95
1260,164,144,130
1261,153,139,135
1262,126,127,111
1263,177,182,200
1264,81,91,102
1265,140,141,132
1266,51,54,58
1267,122,128,115
1268,90,77,68
1269,191,202,204
1270,79,64,53
1271,97,83,60
1272,141,117,90
1273,115,148,155
1274,179,170,173
1275,146,151,126
1276,139,134,126
1277,83,101,93
1278,183,175,154
1279,169,153,144
1280,52,80,91
1281,199,180,162
1282,83,95,103
1283,55,63,65
1284,86,89,107
1285,153,136,113
1286,74,111,132
1287,90,82,82
1288,93,93,93
1289,56,84,63
1290,193,202,204
1291,77,108,144
1292,104,114,121
1293,185,190,205
1294,180,181,176
1295,124,126,131
1296,194,159,111
1297,126,127,111
1298,132,147,154
1299,184,192,193
1300,84,80,63
1301,90,77,68
1302,82,113,108
1303,33,78,53
1304,115,96,90
1305,128,90,65
1306,112,104,103
1307,112,98,86
1308,162,148,132
1309,162,175,186
1310,121,121,121
1311,75,86,124
1312,105,107,110
1313,203,170,132
1314,101,102,91
1315,77,108,144
1316,186,179,182
1317,94,98,45
1318,162,128,99
1319,169,129,82
1320,122,102,86
1321,73,98,138
1322,132,110,80
1323,140,121,103
1324,136,143,132
1325,136,140,144
1326,194,202,216
1327,145,132,130
1328,174,45,42
1329,8,76,31
1330,184,192,128
1331,102,94,101
1332,128,128,121
1333,154,51,75
1334,111,112,98
1335,148,143,106
1336,209,187,168
1337,139,120,107
1338,188,188,191
1339,104,89,67
1340,143,143,145
1341,135,127,123
1342,138,117,112
1343,93,94,87
1344,76,101,126
1345,133,132,119
1346,98,139,116
1347,52,55,72
1348,69,53,38
1349,154,154,145
1350,28,39,53
1351,75,40,33
1352,59,57,31
1353,135,129,122
1354,190,141,104
1355,121,117,107
1356,64,111,126
1357,178,185,158
1358,135,120,92
1359,125,134,131
1360,141,117,90
1361,115,110,116
1362,84,100,123
1363,92,92,92
1364,119,119,120
1365,97,62,92
1366,129,107,95
1367,120,131,138
1368,129,63,25
1369,174,165,149
1370,55,66,63
1371,161,150,143
1372,153,121,103
1373,96,95,84
1374,195,198,199
1375,100,96,92
1376,52,61,50
1377,90,87,92
1378,135,129,122
1379,46,64,47
1380,89,84,81
1381,150,158,174
1382,112,112,112
1383,134,128,122
1384,201,184,189
1385,148,149,157
1386,170,164,136
1387,225,219,187
1388,95,95,95
1389,205,213,218
1390,169,167,141
1391,55,63,65
1392,19,78,138
1393,98,98,98
1394,169,167,141
1395,162,155,147
1396,190,194,186
1397,137,148,140
1398,141,146,148
1399,96,118,94
1400,140,121,103
1401,56,73,81
1402,14,63,65
1403,84,80,63
1404,134,129,139
1405,179,171,152
1406,138,117,112
1407,135,118,80
1408,145,162,153
1409,127,93,68
1410,155,133,110
1411,137,148,140
1412,97,122,125
1413,102,94,101
1414,14,63,65
1415,99,103,92
1416,58,67,74
1417,85,90,53
1418,126,138,150
1419,115,109,112
1420,126,125,112
1421,127,135,135
1422,98,144,180
1423,96,93,86
1424,70,70,81
1425,144,111,91
1426,153,147,146
1427,81,134,175
1428,57,67,79
1429,97,62,92
1430,58,49,39
1431,215,216,220
1432,88,122,90
1433,137,113,94
1434,200,166,141
1435,81,116,177
1436,150,155,149
1437,178,174,166
1438,136,132,134
1439,95,92,88
1440,134,106,77
1441,105,107,110
1442,90,87,92
1443,216,222,224
1444,46,46,46
1445,52,55,72
1446,187,172,153
1447,112,112,112
1448,183,162,126
1449,17,47,73
1450,150,157,183
1451,121,120,129
1452,90,92,86
1453,134,146,155
1454,167,156,164
1455,151,152,148
1456,230,226,222
1457,28,39,53
1458,94,94,94
1459,117,92,89
1460,154,132,135
1461,50,77,98
1462,153,140,132
1463,154,154,145
1464,169,164,159
1465,162,172,129
1466,157,159,160
1467,150,117,57
1468,184,192,128
1469,211,211,211
1470,179,168,147
1471,110,122,139
1472,109,110,105
1473,225,220,216
1474,109,112,104
1475,105,120,128
1476,101,102,91
1477,122,128,115
1478,96,96,96
1479,124,135,129
1480,149,162,168
1481,177,188,194
1482,129,122,104
1483,137,142,137
1484,81,116,177
1485,157,144,107
1486,100,90,82
1487,140,128,105
1488,207,207,209
1489,48,62,67
1490,153,140,132
1491,119,123,123
1492,84,108,124
1493,100,90,82
1494,132,136,154
1495,224,225,220
1496,118,151,167
1497,140,121,103
1498,186,163,137
1499,111,106,76
1500,62,53,62
1501,76,101,126
1502,128,115,108
1503,73,86,89
1504,140,128,105
1505,167,156,164
1506,140,128,105
1507,151,151,151
1508,163,119,79
1509,141,116,106
1510,17,47,73
1511,137,137,137
1512,107,122,124
1513,136,132,134
1514,216,222,224
1515,157,164,169
1516,166,165,167
1517,81,91,102
1518,130,147,164
1519,134,141,145
1520,116,115,118
1521,202,204,212
1522,174,165,149
1523,40,76,93
1524,98,92,85
1525,91,87,83
1526,130,136,139
1527,173,174,178
1528,176,164,127
1529,162,128,99
1530,100,104,79
1531,194,159,111
1532,207,204,176
1533,126,110,87
1534,177,188,194
1535,158,147,163
1536,152,171,181
1537,192,183,173
1538,45,28,25
1539,41,63,36
1540,96,119,122
1541,180,177,176
1542,63,45,50
1543,132,136,154
1544,107,104,88
1545,156,163,176
1546,96,96,96
1547,169,164,159
1548,162,172,129
1549,79,80,81
1550,131,137,126
1551,141,162,151
1552,160,141,138
1553,165,164,157
1554,138,116,102
1555,170,137,108
1556,113,116,113
1557,79,75,53
1558,123,114,100
1559,111,95,68
1560,98,139,116
1561,207,204,176
1562,118,112,89
1563,81,116,177
1564,162,163,148
1565,113,116,113
1566,142,148,145
1567,83,101,93
1568,115,136,154
1569,87,97,104
1570,157,163,171
1571,113,119,137
1572,112,98,86
1573,162,161,170
1574,138,123,108
1575,134,141,145
1576,209,209,209
1577,98,90,63
1578,187,181,167
1579,76,76,75
1580,57,58,56
1581,73,98,138
1582,207,207,209
1583,94,89,49
1584,129,63,25
1585,176,151,125
1586,126,126,126
1587,116,117,66
1588,135,118,80
1589,86,86,45
1590,123,104,74
1591,87,99,63
1592,162,175,186
1593,88,101,103
1594,87,99,63
1595,163,155,143
1596,145,138,98
1597,235,235,235
1598,112,90,60
1599,94,89,49
1600,130,147,164
1601,56,73,81
1602,161,157,156
1603,38,35,44
1604,95,80,62
1605,231,201,191
1606,69,64,54
1607,126,136,135
1608,115,109,112
1609,8,76,31
1610,139,137,115
1611,124,137,148
1612,180,180,180
1613,186,189,189
1614,65,89,51
1615,100,96,92
1616,180,181,176
1617,97,86,80
1618,148,148,148
1619,153,136,113
1620,131,128,132
1621,132,143,155
1622,35,35,35
1623,87,91,85
1624,216,222,224
1625,79,64,53
1626,148,148,148
1627,45,28,25
1628,176,149,109
1629,28,35,33
1630,131,137,126
1631,123,104,74
1632,149,104,58
1633,199,180,162
1634,120,146,168
1635,111,121,107
1636,119,114,104
1637,180,177,176
1638,121,117,107
1639,51,55,62
1640,63,67,61
1641,189,189,182
1642,157,162,166
1643,112,112,112
1644,133,132,119
1645,84,84,80
1646,156,154,150
1647,98,139,116
1648,35,35,34
1649,87,97,107
1650,97,141,187
1651,95,95,95
1652,36,29,79
1653,68,56,51
1654,167,182,182
1655,27,64,107
1656,163,119,79
